Compound,TreatmentGroup.x,P1,P2,P3,P4,P5,P6,P7,P8,meanLog2FC.x,sdLog2FC.x,meanFC.x,p_value_tLOG.x,fdr_tLOG.x,TreatmentGroup.y,T1,T2,T3,T4,T5,T6,meanLog2FC.y,sdLog2FC.y,meanFC.y,p_value_tLOG.y,fdr_tLOG.y
PC 29:0,PRED,-0.16827517852025073,0.0033534523231086672,-0.3316389387877323,-0.49133688223419003,-0.11828210338624713,-0.4837437160964935,-0.22728661028991284,-0.11027839575726718,-0.24093604659362314,0.18013559859143088,-1.1817591594257182,0.006864480611826178,0.04182342251454213,ACTH,0.22114619796660656,-0.31792118597015334,-0.6787371781673798,-0.7914047141419447,-0.49530398598651576,-0.12224013927295556,-0.3640768342620571,0.374684438604642,-1.287057790894694,0.06315378156920205,0.13209665978224763
PC 31:0,PRED,0.8462794391961617,0.2550379626532684,-0.6267992544268289,-0.07711373645035267,-0.33584418574485864,0.5862919281439333,-0.03977968240852737,-0.05067928600515383,0.06967414811970524,0.47837545703260614,1.0494796179093622,0.6926961275275533,0.7962768568774677,ACTH,-0.5700939863582026,-1.0565759044658067,-0.506468236256768,-0.5675558810250162,-0.12367263389164443,-0.3891225450551851,-0.5355815311754372,0.3051607326735255,-1.449526321585784,0.007722403290493004,0.03126327783731846
PC 31:1,PRED,-1.4324961443259576,-1.279792256406757,-0.5806452710780884,-0.4174567759305949,-0.05310995751132382,-0.6083954656791759,-0.6844748050621281,0.2113426108710354,-0.6056285081403738,0.5546147392386035,-1.5216415099286753,0.01760185592520626,0.08133916424753747,ACTH,0.10689735294207973,0.07860741058613263,-0.2954598682030173,-0.7894176463081333,0.18085696911307056,0.4206536013523298,-0.04964369675292297,0.4296404633946788,-1.0350092754212743,0.7884965407097438,0.8386128462633293
PC 32:0,PRED,0.9556846533433331,-0.08897708446979383,-0.3914958993890844,-0.2168254658151836,-0.019484540929253738,0.18269442354818205,-0.17946329670442582,-0.061001895253536366,0.02264136179127967,0.4118107324922132,1.015817590460893,0.8808109760390462,0.9118689457799821,ACTH,-0.23967782551015834,-0.2651513472503711,0.21810218423530697,-0.8252674697962651,-0.3416550850518055,0.7018459132346805,-0.12530060502310209,0.5237365921554751,-1.090734978373667,0.5833133258529541,0.6798707519860318
PC 32:1,PRED,-0.9529791754498534,-0.8357738875293409,-0.23142216302400037,-0.2715241501314588,-0.12302455344872254,-0.8253447123510477,-0.34655158084587967,-0.15518705805978547,-0.46772591010501113,0.34316564551351275,-1.3829278690010949,0.006251235364818753,0.041562267560686844,ACTH,0.19128612457635527,0.4675845603895405,0.5741850333460098,-0.45309088944252873,0.0442624698164844,1.5477567586774337,0.3953306762272158,0.6708200351886974,1.3152441892212006,0.20846494666298973,0.3270293850775652
PC 32:2,PRED,-1.3015487802694605,-1.1898099327509453,-0.5954073191677491,-0.5463456223854023,-0.153704439286802,-1.0951425789895555,-0.49968930541786677,-0.15603475406180725,-0.6922103415411985,0.4514164425475137,-1.6157571116307794,0.003407868108764084,0.029940555526998744,ACTH,0.13412164485894934,0.48042400543169606,0.2120144479341437,0.15172544760199075,0.23138558430898756,0.7985106330753713,0.33469696053518977,0.2591496732041251,1.2611124831323408,0.024994853494777043,0.06352433205062005
PC 32:3,PRED,-0.7090647024515887,-0.8948246925478656,-0.5364085296356205,0.0792366369661667,0.21618888108832432,-0.3989772692430411,0.003906810185948545,0.5499772146998579,-0.21124570636722728,0.4998441534010785,-1.157687366718957,0.2708673815936694,0.4563929854249498,ACTH,0.1383401913321711,0.057284804484010673,-0.053758408490631834,0.06317486814907224,0.5682631604771146,0.7572371560196028,0.2550902953285566,0.3271713206254256,1.193410433809759,0.11441145548008744,0.20512339518215678
PC 33:1,PRED,-0.9346064107201242,-0.5810080086673036,-0.41387439351226485,-0.1645728727114758,0.25803170756144495,-0.022488654581205476,-0.06640058707299666,0.20942558853585436,-0.2144367038960089,0.406540300251358,-1.1602508093616044,0.17935402279375912,0.3650160441501936,ACTH,0.36395418590713335,0.34598560630540487,0.4205778989234629,0.19794363238847462,0.5061025876973175,1.1647904073701472,0.4998923864319901,0.34110358373235383,1.4141080772309305,0.015711979718994726,0.04505138310297422
PC 33:2,PRED,-1.2587828611273002,-0.3864426664513591,-0.2522939751614454,-0.11739024948916181,-0.1132641105704503,-0.26611191604999185,-0.18501574081467864,0.09019061773040485,-0.3111388627417478,0.40758089358640454,-1.2406867109401465,0.06769153935924521,0.20558171212807808,ACTH,0.5009787103134037,0.6953747675590365,0.4467984090037795,0.8069463548140247,1.153974301267899,0.6960336844941126,0.7166843712420427,0.25283102002032465,1.6434007966594584,9.516131103151477e-4,0.010550789476223345
PC 34:0,PRED,1.0781096707361213,-0.6870422013860725,-0.7064296281006938,-0.41588404566140197,0.04148419614827219,-0.05013014414878188,-0.1669987184623914,0.11260336731039061,-0.09928593794556968,0.5697481007182863,-1.0712431194115946,0.6371741892750609,0.7608973328236163,ACTH,-0.04561457254979843,-0.25153093495742307,0.2738330958574446,-0.8119800372331888,-0.24259648587827431,0.9919869854296374,-0.014316991555267108,0.6068452887615831,-1.0099731863481736,0.9561546722256736,0.9561546722256736
